TRAVEL_MODE,ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
VH,JESZ06,CLSZ04,1,2.2903747129095033
WK,PGSZ02,PGSZ02,1,0.0
PT,BMSZ17,CLSZ06,1,9.705301086277531
PT,BSSZ02,BSSZ01,1,1.4491930913198168
VH,JESZ05,SESZ04,1,17.65769832786899
VH,BMSZ04,BMSZ01,1,2.2510633399612368
PT,DTSZ10,YSSZ03,1,17.147745392230362
PT,OTSZ01,BDSZ01,1,9.574094258556581
VH,DTSZ11,BMSZ03,1,4.1392718278977885
VH,JWSZ03,JWSZ02,1,1.1903534965573972
PT,BDSZ04,JESZ05,1,21.49468574123992
PT,WCSZ01,CKSZ03,1,6.445375910278424
VH,JESZ05,CLSZ04,1,3.174817557630327
PT,WDSZ07,TMSZ02,1,21.180222527274527
WK,BMSZ08,BMSZ04,1,0.59386186624026
WK,BDSZ04,BDSZ03,1,2.353398647735378
PT,MUSZ01,DTSZ01,1,1.2066032863056144
PT,DTSZ01,SGSZ06,1,6.1233919991614005
PT,SESZ04,DTSZ05,1,13.022712014626789
VH,TMSZ03,HGSZ08,1,5.398544920227533
PT,PRSZ03,TMSZ04,1,3.554865866429268
WK,PGSZ04,PGSZ04,1,0.0
PT,SBSZ03,QTSZ11,1,17.335793254969907
WK,RCSZ10,DTSZ02,1,0.8039412247349442
PT,BMSZ04,BMSZ01,1,2.2510633399612368
VH,CLSZ05,AMSZ01,1,11.975847670303475
PT,BPSZ07,QTSZ08,1,6.317948774575861
WK,SBSZ03,SBSZ05,1,1.1325109350819553
WK,SESZ02,SESZ06,1,3.2776746306326205
PT,DTSZ09,TMSZ03,1,12.864791287736784
PT,BTSZ01,BTSZ06,1,3.602990103149332
PT,MUSZ02,GLSZ05,1,6.3500981474247915
VH,TMSZ02,BSSZ02,1,11.821167916419341
PT,AMSZ01,HGSZ04,1,4.344027574087123
PT,JESZ05,WDSZ06,1,12.168955161426084
WK,QTSZ11,QTSZ10,1,0.9343207049567491
VH,TPSZ06,TPSZ01,1,1.900206871642527
PT,HGSZ05,HGSZ05,1,0.0
PT,BSSZ03,BSSZ02,1,1.034011091901759
PT,QTSZ08,BKSZ05,1,7.063810457789163
PT,TPSZ10,DTSZ11,1,7.694544586642889
PT,SESZ06,YSSZ01,1,5.56294361157275
WK,BTSZ01,BTSZ01,1,0.0
PT,SBSZ03,QTSZ10,1,16.405496733668663
WK,KLSZ07,KLSZ07,1,0.0
VH,TMSZ04,SGSZ06,1,9.351615237631334
PT,WDSZ09,HGSZ05,1,13.607111051802473
PT,KLSZ06,SGSZ06,1,4.7797249941233115
PT,KLSZ09,GLSZ04,1,2.6696523516832915
PT,BPSZ01,JESZ03,1,5.63935903522733
WK,DTSZ05,DTSZ05,1,0.0
PT,TPSZ06,QTSZ04,1,7.933811564437317
PT,JWSZ03,JWSZ04,1,1.7107282695398258
PT,PGSZ02,BMSZ05,1,16.190965710354643
PT,SESZ02,MUSZ01,1,11.901751349668295
PT,JWSZ09,WCSZ01,1,4.867229736806335
PT,BKSZ08,DTSZ03,1,13.02303768206327
VH,TSSZ06,SBSZ03,1,30.18925614650171
PT,BMSZ07,BMSZ04,1,1.9555381553333073
PT,DTSZ11,GLSZ04,1,5.5301729837225455
VH,BPSZ05,BPSZ05,1,0.0
PT,DTSZ05,PRSZ03,1,14.581348508611656
PT,YSSZ09,TMSZ04,1,16.973740135242906
PT,MPSZ03,QTSZ08,1,12.960943887980356
PT,CKSZ02,BPSZ04,1,3.098894930087644
VH,YSSZ03,OTSZ03,1,16.45255773280004
PT,WDSZ09,WDSZ01,1,1.4057969588338775
PT,BSSZ03,HGSZ07,1,3.8148468673759472
PT,RCSZ10,BSSZ03,1,5.577571322090329
PT,NVSZ01,BSSZ01,1,4.140712133667812
PT,SESZ04,HGSZ02,1,2.9359187963327877
PT,GLSZ04,DTSZ05,1,4.9780475407465925
VH,BKSZ04,BTSZ01,1,2.777224787556547
PT,PGSZ01,DTSZ08,1,16.59428387808019
WK,YSSZ02,YSSZ02,1,0.0
PT,BSSZ02,TPSZ05,1,2.0222166307092877
PT,BMSZ17,BMSZ07,1,3.9046625287544408
WK,YSSZ04,YSSZ04,1,0.0
WK,KLSZ01,KLSZ01,1,0.0
PT,AMSZ02,AMSZ11,1,2.4681966670578097
PT,CKSZ03,CKSZ01,1,0.8899078021080913
VH,PRSZ05,SESZ03,1,7.311629435529212
PT,HGSZ05,SESZ04,1,1.720585279728292
WK,QTSZ15,CLSZ06,1,4.179653083045696
PT,BDSZ06,PRSZ08,1,4.855385417404755
PT,BMSZ08,QTSZ11,1,5.185798776659214
PT,BDSZ05,TPSZ07,1,7.127475028667871
PT,GLSZ01,PGSZ02,1,9.67470345688196
VH,BSSZ01,AMSZ01,1,2.330062203630164
PT,BDSZ02,GLSZ03,1,3.505008869857587
VH,BTSZ05,BTSZ03,1,2.8036270900135425
PT,JWSZ09,JWSZ04,1,2.2141262582406362
PT,JESZ05,JWSZ06,1,4.980010580141298
PT,BMSZ02,BMSZ09,1,1.5689219202083913
VH,DTSZ11,PRSZ02,1,15.070272920189144
PT,BSSZ03,BSSZ03,1,0.0
PT,WDSZ02,JESZ06,1,13.518126701250333
WK,JESZ01,JESZ02,1,1.0589239214789605
PT,BSSZ02,MUSZ01,1,6.172525684162197
PT,SESZ03,SESZ02,1,0.9264025278629129
PT,TPSZ01,BTSZ07,1,5.606162117112785
WK,CKSZ06,CKSZ06,1,0.0
VH,HGSZ05,SESZ02,1,2.722568976450663
PT,SESZ04,TSSZ02,1,29.108222121674487
PT,NVSZ02,CKSZ06,1,14.017864654757709
PT,ORSZ02,TMSZ03,1,12.45389772749502
PT,BDSZ03,MPSZ03,1,2.603159149303617
VH,PRSZ08,TMSZ02,1,1.7629920239944799
PT,SGSZ06,TPSZ10,1,1.325651271779934
VH,SESZ03,HGSZ08,1,5.434285984043366
PT,KLSZ07,DTSZ11,1,4.235576503546073
PT,BDSZ07,BDSZ03,1,2.393711987511306
PT,BTSZ01,TMSZ02,1,20.057503162804043
VH,SGSZ06,HGSZ07,1,1.8431609549072046
PT,TMSZ02,TMSZ04,1,1.5608180588962757
PT,BKSZ05,CKSZ03,1,3.7324497524941984
VH,BDSZ06,BDSZ06,1,0.0
PT,BSSZ03,BSSZ03,1,0.0
PT,BTSZ01,TMSZ02,1,20.057503162804043
PT,HGSZ05,SESZ06,1,1.6602232514061128
PT,BDSZ04,NVSZ01,1,9.459263596389071
PT,AMSZ03,JESZ05,1,13.027354259550759
