TRAVEL_MODE,ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
PT,1105061,1111079,1,8.35162570828392
VH,1124080,1124071,1,1.3937813506435808
WK,1105066,1105066,1,0.0
WK,1103063,1103063,1,0.0
VH,1119056,1119074,1,1.3206491536178324
PT,1121069,1119062,1,6.6596888915604575
WK,1120071,1120071,1,0.0
WK,1103065,1103065,1,0.0
PT,1106082,1110057,1,8.880912472035634
WK,1123065,1123065,1,0.0
PT,1111053,1106082,1,5.166781493821213
WK,1120067,1120067,1,0.0
WK,1103071,1103071,1,0.0
VH,1119054,1120072,1,2.4919998256563525
PT,1108083,1101073,1,1.9553861390797624
WK,1105065,1105065,1,0.0
PT,1106082,1106082,1,0.0
VH,1105053,1111053,1,9.081644499133006
WK,1125054,1125053,1,0.7644687429013556
PT,1105058,1107059,1,4.260687720412282
VH,1101073,1119054,1,9.093313071925055
VH,1112071,1112071,1,0.0
WK,1123077,1123051,1,1.1799179748293418
PT,1118055,1118054,1,0.7481262828839468
PT,1116064,1116071,1,2.886501162750295
VH,1119065,1119065,1,0.0
PT,1113070,1116074,1,7.691672335653698
VH,1115066,1114066,1,8.63488499410915
PT,1123079,1122060,1,5.569911309313915
PT,1103053,1103052,1,1.0365757327608291
WK,1117062,1117061,1,1.060965659666472
PT,1120053,1112074,1,12.302061700174143
WK,1122051,1122051,1,0.0
PT,1112074,1124071,1,18.44018985142487
PT,1121066,1121061,1,1.5478362612930907
PT,1116059,1116058,1,2.318269983394118
VH,1105062,1104068,1,3.470764181556571
WK,1122066,1122066,1,0.0
VH,1118051,1102072,1,14.558409225589191
PT,1123073,1123075,1,1.2362686913874363
WK,1122057,1122057,1,0.0
PT,1124063,1114066,1,17.020609633257312
WK,1118059,1118059,1,0.0
WK,1114073,1114069,1,1.7148561464432666
VH,1116063,1115051,1,2.452360323962752
VH,1124052,1124069,1,5.52342462525511
PT,1115053,1116053,1,0.4786487045942757
PT,1108083,1101073,1,1.9553861390797624
VH,1123064,1122062,1,3.8870903640899277
PT,1123067,1106088,1,9.941967231744318
WK,1115054,1115064,1,1.9494851174529753
VH,1123058,1123065,1,2.3358510499747926
WK,1119068,1119068,1,0.0
PT,1103051,1103066,1,1.3723039476747576
PT,1104068,1113069,1,12.845287448251762
WK,1113066,1113062,1,2.0565685263392273
WK,1110062,1110063,1,0.7821494739741017
WK,1115051,1115069,1,1.3697346355705562
PT,1103051,1103073,1,2.5662684739579693
WK,1118051,1118051,1,0.0
PT,1114073,1112052,1,6.379412302686214
WK,1124051,1124052,1,1.0027311515702793
PT,1120066,1122064,1,2.493520262993216
WK,1111079,1111079,1,0.0
WK,1125054,1125053,1,0.7644687429013556
WK,1110063,1110062,1,0.7821494739741017
WK,1121073,1121073,1,0.0
WK,1108066,1108066,1,0.0
PT,1123064,1104073,1,4.874969649149505
WK,1107068,1107071,1,1.242773660657803
WK,1115060,1115072,1,1.6043009341771906
PT,1115066,1115066,1,0.0
VH,1119073,1103052,1,7.147723669947672
PT,1124065,1114077,1,15.56007296351896
WK,1116051,1116051,1,0.0
WK,1117056,1117071,1,0.9419915348568495
PT,1110063,1110061,1,2.0039511558647405
WK,1111065,1111065,1,0.0
WK,1109063,1109063,1,0.0
PT,1101055,1120056,1,11.20426320055375
WK,1110065,1110065,1,0.0
PT,1119056,1120068,1,3.577299694627298
PT,1122066,1101061,1,12.084416538169373
VH,1102060,1113066,1,5.721995178467697
WK,1125073,1125073,1,0.0
PT,1116061,1116059,1,1.8560388941538093
PT,1105061,1105066,1,2.9688520148302358
VH,1122066,1103058,1,9.79525778379273
PT,1109065,1110064,1,4.9707476413682254
PT,1102055,1110061,1,9.617345682758417
VH,1110059,1110061,1,1.10020233459767
WK,1115066,1115066,1,0.0
PT,1115052,1116064,1,4.8003151342987405
WK,1123074,1123074,1,0.0
WK,1117054,1117071,1,1.9553083990825433
PT,1123059,1108064,1,12.173375399396157
PT,1124077,1102054,1,11.657736405398833
VH,1122051,1105063,1,10.116907406460395
PT,1108060,1104052,1,2.8639054437947196
PT,1106089,1106083,1,2.182584749207507
WK,1101056,1101056,1,0.0
WK,1106082,1106081,1,0.997040516026031
VH,1111060,1111077,1,2.2609864442118437
VH,1125073,1125058,1,1.4135909744767976
WK,1119054,1119054,1,0.0
PT,1105056,1108068,1,7.436823127387172
WK,1115063,1115063,1,0.0
PT,1114071,1114077,1,3.5494022060710178
PT,1122067,1122066,1,2.906371519207784
VH,1121081,1121069,1,1.9139128812929573
WK,1123068,1123080,1,0.8404400761318399
PT,1112074,1112052,1,2.599582197911502
VH,1102069,1102072,1,0.9945330487270931
PT,1123066,1123066,1,0.0
WK,1103058,1103057,1,1.4098498842263765
WK,1106082,1106084,1,2.1316949338958473
WK,1106090,1106090,1,0.0
VH,1117051,1119071,1,2.731256479758113
WK,1101053,1101053,1,0.0
WK,1120070,1120070,1,0.0
PT,1119074,1113066,1,9.382921139568241
PT,1108060,1106071,1,2.241090665338862
PT,1104058,1109071,1,7.419080346415593
PT,1120068,1121052,1,1.9063077043856278
PT,1121064,1123052,1,8.916759086739281
WK,1123079,1123063,1,1.0230734105714439
PT,1125072,1125054,1,1.7744463981999534
WK,1113066,1113068,1,1.9489509932509077
WK,1106080,1106080,1,0.0
WK,1110059,1110060,1,0.7768135334345417
VH,1103065,1103051,1,2.151705276944737
WK,1119071,1119065,1,1.9258344850018798
PT,1110059,1114068,1,16.284044811269375
PT,1104062,1102065,1,2.1234325513313275
WK,1120072,1120052,1,1.0108684819937497
WK,1105063,1105063,1,0.0
PT,1112071,1125074,1,21.214239132267476
WK,1110059,1110060,1,0.7768135334345417
PT,1121080,1122057,1,6.948422914112971
WK,1103070,1103069,1,1.197687340515067
PT,1113052,1101057,1,0.7437504596443467
WK,1121066,1121066,1,0.0
PT,1120055,1123064,1,9.019475303994302
VH,1101073,1109063,1,4.8218942842904955
PT,1124057,1117054,1,20.245274048152744
PT,1110052,1119076,1,20.22726751120483
VH,1119054,1114073,1,5.046054454490747
PT,1116054,1116052,1,1.306700597690444
VH,1101063,1113068,1,6.538088040187328
PT,1103072,1103071,1,1.1561883440345937
PT,1123078,1111073,1,15.994988842474783
WK,1111058,1111058,1,0.0
