ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
1101053,1101053,3,0.0
1101053,1101054,3,1.8235269676674781
1101053,1101055,2,2.5994005638159763
1101053,1101056,8,4.432554566882942
1101053,1101057,6,1.0627827056630665
1101053,1101060,2,1.736517177637372
1101053,1101061,7,1.7297633059106512
1101053,1101063,3,3.007442756066859
1101053,1101064,3,2.9672394631496206
1101053,1101067,1,3.8721963427986807
1101053,1101069,6,3.831160374759461
1101053,1101070,1,4.131655457472183
1101053,1101071,1,4.450040902654388
1101053,1101072,4,1.1733560796781852
1101053,1101073,7,2.8460510153351892
1101053,1102052,2,1.1524744831155418
1101053,1102054,2,1.9917689301790826
1101053,1102055,4,1.7032527893704918
1101053,1102057,2,2.840418905432526
1101053,1102058,1,3.5005372357771325
1101053,1102059,1,3.112548084046015
1101053,1102060,1,2.4661199744720155
1101053,1102068,1,1.9030149054716508
1101053,1103051,1,2.8409341222566042
1101053,1103052,2,3.9466821183465703
1101053,1103053,2,3.238344621493642
1101053,1103058,3,3.5400823791762077
1101053,1103059,1,4.126483891885957
1101053,1103063,4,6.319722028912143
1101053,1103071,1,2.9307307098779014
1101053,1103072,1,4.08613875658322
1101053,1103073,1,4.9993379794099
1101053,1104056,1,6.046855805292903
1101053,1104059,1,5.347063038628001
1101053,1104062,2,5.8147302972822255
1101053,1104066,1,7.0763003728030816
1101053,1104067,1,8.583052921134767
1101053,1104068,3,8.3819484967836
1101053,1104069,1,8.76348146523454
1101053,1104070,1,7.921644232140229
1101053,1104072,1,5.058428583316874
1101053,1104073,1,5.4071510621155365
1101053,1105053,2,9.731430894223074
1101053,1105054,1,9.421119083999464
1101053,1105058,1,11.014107410022612
1101053,1105063,4,12.217867743674182
1101053,1105065,1,11.145099881981
1101053,1106071,1,7.484807060804778
1101053,1106072,2,8.372433948693756
1101053,1106073,1,8.596696844715106
1101053,1106081,1,5.479089418560333
1101053,1106088,1,9.02574210188817
1101053,1106090,3,9.153001340144668
1101053,1106091,2,7.196184370711391
1101053,1107052,1,9.667269665365035
1101053,1107054,1,10.25245480814187
1101053,1107057,2,10.805595436172595
1101053,1107059,1,10.962716922560647
1101053,1107060,1,10.270740876634491
1101053,1107061,4,10.438585196916284
1101053,1107070,3,11.45990566356441
1101053,1107073,1,12.496615925537629
1101053,1108058,1,5.515281489268103
1101053,1108060,2,5.245219535268158
1101053,1108061,1,4.426676174253178
1101053,1108063,1,4.700162899572183
1101053,1108065,1,5.919600690170444
1101053,1108066,5,5.7783093694824945
1101053,1108068,2,6.283178170688546
1101053,1108072,2,7.366432791579391
1101053,1108077,1,8.344483212135227
1101053,1108078,1,8.828352377384503
1101053,1108081,1,3.3325624451939406
1101053,1108082,1,3.9252282922976334
1101053,1108083,3,4.781648607242758
1101053,1109063,2,7.081270207395873
1101053,1109064,1,9.04158571032512
1101053,1109069,1,6.77642341506594
1101053,1109070,2,7.830551025405301
1101053,1109071,2,7.354743523086169
1101053,1109072,2,6.8781920917616555
1101053,1109073,1,6.308818725490858
1101053,1109074,2,9.951544904091422
1101053,1109075,3,7.6669946378560505
1101053,1110052,5,10.943590761216669
1101053,1110054,4,10.497005462880184
1101053,1110055,1,11.999275051932472
1101053,1110057,2,10.923015298547876
1101053,1110062,1,11.258961854414775
1101053,1110063,2,11.069996060095287
1101053,1111056,3,12.664084156721753
1101053,1111061,2,12.414948648784796
1101053,1111065,1,14.751401417862981
1101053,1111072,2,12.615875662434066
1101053,1111073,1,13.240902230801638
1101053,1111074,1,12.283599041437817
1101053,1111076,3,15.015898389622526
1101053,1111077,1,11.474417734953324
1101053,1111078,1,11.41934649797596
1101053,1112051,2,4.6561759852025775
1101053,1112052,8,5.520664032991252
1101053,1112055,1,7.494430728430328
1101053,1112056,2,7.08934225932295
1101053,1112058,2,5.932905367436877
1101053,1112059,1,4.66140636820066
1101053,1112060,1,4.598635250660216
1101053,1112068,1,6.756202653153966
1101053,1112071,2,7.702245882747247
1101053,1112072,1,6.678477800541925
1101053,1112073,2,4.892465351617026
1101053,1112074,3,5.956902520209358
1101053,1113052,3,1.1902926666314804
1101053,1113062,2,2.3483591833940793
1101053,1113064,1,2.6012575685320147
1101053,1113065,3,1.9384764477029184
1101053,1113066,5,3.5248845015498214
1101053,1113068,3,3.63974913617216
1101053,1113070,2,4.319513251756064
1101053,1113072,1,5.0501950610891315
1101053,1113073,3,1.5534901880604206
1101053,1113075,6,2.8151794425409618
1101053,1113076,3,3.3051392027859103
1101053,1114059,1,4.513298384816135
1101053,1114060,3,3.5206982095431503
1101053,1114066,2,4.839898140022137
1101053,1114069,1,6.605972669397018
1101053,1114070,1,6.829588167823253
1101053,1114073,1,6.038912281005129
1101053,1114074,1,7.872780514681485
1101053,1114075,4,4.606624786542854
1101053,1114076,1,5.052694187618985
1101053,1114077,1,2.9844986051367313
1101053,1114078,7,2.8999254634961047
1101053,1115051,1,9.855381254012945
1101053,1115053,2,9.775293850595057
1101053,1115069,1,10.97198681206662
1101053,1115070,2,11.70839878717658
1101053,1115071,1,8.909338366078543
1101053,1116051,2,8.66543415077171
1101053,1116054,2,11.007904001176545
1101053,1116055,1,11.309729771550824
1101053,1116061,5,10.778374495492947
1101053,1116070,1,13.462145588551946
1101053,1117069,1,15.247298526648438
1101053,1118053,1,13.634944996353054
1101053,1118057,1,14.825852285810956
1101053,1119054,4,6.399797808365016
1101053,1119055,1,8.536972970042543
1101053,1119056,3,7.416229598925467
1101053,1119062,2,7.663081971390924
1101053,1119063,1,8.191761360021838
1101053,1119065,1,9.418159199462007
1101053,1119073,1,8.572505634571016
1101053,1119076,1,9.450485394693938
1101053,1120054,1,8.214043631438356
1101053,1120055,1,9.143477988541907
1101053,1120067,1,9.829281660737701
1101053,1120071,1,7.561289638636396
1101053,1121063,2,12.426620294779676
1101053,1121066,2,11.509679935118223
1101053,1121071,1,13.321915608576868
1101053,1121082,1,13.09805559053008
1101053,1122051,2,10.646580645723825
1101053,1122053,2,10.456025335959447
1101053,1122054,2,9.437921743689575
1101053,1122055,1,7.330014824198841
1101053,1122060,2,8.787279443258106
1101053,1122063,1,11.356768978977195
1101053,1122064,1,11.36272040806136
1101053,1122065,2,9.551048199352108
1101053,1122066,1,12.50985714577938
1101053,1122067,1,15.218152444873473
1101053,1123051,1,7.026146370997713
1101053,1123053,1,8.765441501322417
1101053,1123059,1,9.797162202366993
1101053,1123063,1,10.988277873552338
1101053,1123064,3,9.974171209414232
1101053,1123065,2,10.682500676410456
1101053,1123073,1,13.815231728381594
1101053,1123074,2,13.004644847864476
1101053,1123077,1,7.4123566339129185
1101053,1123079,2,11.786002346180254
1101053,1123080,1,12.994412555839856
1101053,1124054,1,18.063051734566073
1101053,1124055,1,18.589648950141886
1101053,1124056,1,17.969067663463093
1101053,1124057,1,15.204641310650407
1101053,1124058,1,14.361758489053338
1101053,1124063,1,14.110904090399554
1101053,1124067,1,16.61284287800166
1101053,1124068,2,16.801139136513463
1101053,1124075,4,13.511962198637386
1101053,1124077,1,12.980297869581113
1101053,1124078,2,11.785288195236824
1101053,1124079,1,11.450440048138212
1101053,1124080,3,12.847900303031107
1101053,1124081,1,17.489829912685906
1101053,1125053,1,15.718498110351552
1101053,1125055,1,15.92383902756559
1101053,1125056,1,16.9021636757073
1101053,1125063,1,14.87482562659947
1101053,1125067,1,15.295986042421838
1101053,1125072,1,14.704002599468629
1101053,1125073,1,13.803050528854987
1101054,1101053,4,1.8235269676674781
1101054,1101054,5,0.0
1101054,1101057,1,2.2595847477302256
1101054,1101060,1,0.7664450102907066
1101054,1101061,7,1.6267344132223316
1101054,1101064,1,2.144655742893155
1101054,1101070,2,3.3707234491117033
1101054,1101073,1,1.4617520288225365
1101054,1102054,1,3.473839241403034
1101054,1102055,1,2.715476931019734
1101054,1102059,1,3.2199894068056
1101054,1102065,1,4.513760103168467
1101054,1102067,1,4.120336500475935
1101054,1102072,1,4.573495483455659
1101054,1103053,1,4.817858031396472
1101054,1103057,1,6.643896095349068
1101054,1103064,1,7.580761634645226
1101054,1103069,1,7.316205889538681
1101054,1103074,1,6.0649329508401175
1101054,1104062,1,6.164363347199726
1101054,1104072,3,5.313192932747316
1101054,1104073,1,5.980467446228561
1101054,1105057,1,9.16630322990585
1101054,1105062,1,11.654003711888258
1101054,1105063,1,11.76834097424319
1101054,1106081,1,4.715332051367249
1101054,1106082,2,4.969252874699501
1101054,1106087,1,8.08043332443975
1101054,1106090,1,7.786658897124926
1101054,1107062,1,8.375424799567364
1101054,1107071,1,9.552955893634541
1101054,1108062,2,3.560725110304706
1101054,1108064,1,2.9177007242680095
1101054,1108066,1,4.070907671929986
1101054,1108068,1,4.629537635245836
1101054,1108081,2,1.5868281139069111
1101054,1109075,1,5.873864937696652
1101054,1112051,4,4.4960306682945586
1101054,1112052,1,4.919491466438048
1101054,1112055,1,7.160540327256363
1101054,1112059,1,4.910468533295412
1101054,1112066,1,6.615374995015594
1101054,1112068,1,7.600663510601543
1101054,1112073,1,5.584001514802967
1101054,1112074,1,6.148330271790338
1101054,1113052,2,2.819978666964393
1101054,1113065,1,2.5483387830996898
1101054,1113066,1,3.284768223787699
1101054,1113068,1,4.3137547191896
1101054,1113072,1,6.008602127702449
1101054,1113075,2,4.450356434894743
1101054,1114066,1,6.463676142851309
1101054,1114068,1,7.8422446188634485
1101054,1114076,1,6.797303198273403
1101054,1114077,1,4.788671035001318
1101054,1117064,1,15.272021478432475
1101054,1117069,1,16.924022455905703
1101054,1119054,3,8.2200253249952
1101054,1119072,1,12.27620865863225
1101054,1119076,2,11.22019509177076
1101054,1120072,1,8.80141525376787
1101054,1121058,1,13.558326396087045
1101054,1122062,1,11.542263685228983
1101054,1123051,2,7.784013614966089
1101054,1123052,2,9.360453635758747
1101054,1123064,1,10.809117144936952
1101054,1123077,1,7.908268502357063
1101054,1125065,1,14.332904507910118
1101054,1125071,2,15.948248188534288
1101055,1101053,3,2.5994005638159763
1101055,1101055,5,0.0
1101055,1101056,1,2.0090520270921846
1101055,1101057,1,2.1313341159857395
1101055,1101061,9,3.39336991784333
1101055,1101072,3,1.507392743522669
1101055,1102052,1,3.7500211415558837
1101055,1102055,1,4.138930975971356
1101055,1102057,1,5.223446751049955
1101055,1102060,2,4.48477569719959
1101055,1102065,1,6.404309738855214
1101055,1102069,1,5.67584590634611
1101055,1102071,1,6.694131449679348
1101055,1103071,1,5.446094568371617
1101055,1103073,1,7.521739751893983
1101055,1104056,1,7.714092280740452
1101055,1104062,1,7.966595410264405
1101055,1104073,1,7.7051988405334955
1101055,1105063,2,13.64903015320215
1101055,1106072,1,8.819630925111209
1101055,1106080,1,7.325273081606498
1101055,1106082,1,6.737990347793908
1101055,1106083,1,8.041433395050626
1101055,1106087,1,9.938905991753112
1101055,1107052,1,10.216493407146709
1101055,1108060,1,5.801098264197442
1101055,1108064,2,3.2486217222802547
1101055,1108065,1,4.14083633137834
1101055,1108068,1,5.83378178478491
1101055,1108085,1,8.796460299198346
1101055,1109060,2,7.521326484248409
1101055,1109071,2,6.623957989636057
1101055,1109075,1,5.833194224322596
1101055,1110055,1,10.419520477150163
1101055,1110061,1,8.303376242730875
1101055,1110062,1,9.958760257556893
1101055,1111073,1,11.850488983338133
1101055,1112052,2,3.07594556319618
1101055,1112055,1,5.270985482697205
1101055,1112057,1,5.094162790542402
1101055,1112058,1,3.884129432584371
1101055,1112059,3,3.14616977948955
1101055,1112060,2,3.5239099536161804
1101055,1112068,1,6.083683502112998
1101055,1112073,1,4.048292185166278
1101055,1112074,1,4.320653813099804
1101055,1113062,2,2.275811983971155
1101055,1113064,5,1.1307459708227519
1101055,1113066,2,1.4159592511167862
1101055,1113068,1,2.8864000079541134
1101055,1113070,1,4.206468479607448
1101055,1113075,3,4.1356684493853235
1101055,1113076,1,3.8005881334820546
1101055,1114066,1,5.931279337397363
1101055,1114074,1,7.713152295569389
1101055,1119054,1,8.29062092926964
1101055,1120056,1,11.20426320055375
1101055,1120069,1,12.719985074414494
1101055,1120072,2,9.378751016339338
1101055,1121057,1,12.876950985392776
1101055,1121064,1,13.162108232676253
1101055,1123052,2,10.984471549695575
1101055,1123074,1,15.252996710413866
1101056,1101053,6,4.432554566882942
1101056,1101055,1,2.0090520270921846
1101056,1101056,4,0.0
1101056,1101061,3,4.6848640308509575
1101056,1101072,6,3.2603409553127642
1101056,1102052,1,5.540995406628059
1101056,1102054,1,6.37152816674961
1101056,1102055,1,5.741972598575519
1101056,1102057,2,6.714872649763275
1101056,1102068,1,6.305623718278405
1101056,1103072,1,8.509164102334681
1101056,1103074,1,9.132918183464396
1101056,1104071,2,7.465870291249008
1101056,1105063,1,14.004333367136397
1101056,1106071,1,7.578177154629293
1101056,1107061,1,10.11484093598349
1101056,1107062,1,9.48450703091483
1101056,1108063,2,3.603785102383956
1101056,1108064,2,2.16552366131925
1101056,1108065,2,2.516514915578868
1101056,1108066,1,4.49228660226633
1101056,1108068,1,5.148500970220522
1101056,1108071,1,5.955643185161451
1101056,1108078,1,7.432873007165986
1101056,1108082,1,4.824866228313727
